Wed Sep 25 14:57:06 +0000 2019,Trump gave people with hateful hearts a voice. You now can't go to any popular website without reading some kind of hateful slur. I grew up in rural town and not once was called a faggot. Since Trump got in I've lost count how many times I've been called that.  #TrumpImpeachment
Wed Sep 25 14:57:06 +0000 2019,The release of the #MuellerReport was the end of the beginning. But this is the beginning of the end. #TrumpImpeachment https://t.co/2HNyO7ECkY
Wed Sep 25 14:57:06 +0000 2019,"BREAKING:  I just saw a commercial for dog food where the guy is worried about having a dog due to the ""costs"".  Buddy, if you can't support a dog, you need to ask a lot tougher questions about your life.  I've seen homeless people with happy looking dogs bruh

#TrumpImpeachment"
Wed Sep 25 14:57:04 +0000 2019,"#TrumpImpeachment 
 #BidenUkraine Biden was involved in bribery, we welcome the investigation. Every Dam should be concerned their candidate bribed a foreign nation to fire a prosecutor investigating corruption while Biden was VP. https://t.co/LN20CQk8r4"
Wed Sep 25 14:57:02 +0000 2019,"🤣🤣🤣🤣🤣🤣🤣

#DemsInDisarray. 

Ha ha ha. There is no #TrumpImpeachment https://t.co/QDjwBg3Hbs"
Wed Sep 25 14:57:00 +0000 2019,"@washingtonpost Donald Trump is toast - he should #ResignNow

The @GOP should start looking for a new candidate for 2020

#TrumpImpeachment

@realdonaldtrump @WhiteHouse 
@GOPLeader @senatemajldr @GOPChairwoman"
Wed Sep 25 14:57:00 +0000 2019,"Really makes you think. 🤔  @SpeakerPelosi #ImpeachTheMF 

#TrumpImpeachment https://t.co/YUdEmnsuHh"
Wed Sep 25 14:56:58 +0000 2019,"@realDonaldTrump Oh Schnookie, you really are clueless. This is evidence of a crime. Even a mafia boss knows that. #TrumpImpeachment #YesCollusionYesObstruction"
Wed Sep 25 14:56:57 +0000 2019,Democrats the day after they announce an inquiry into #TrumpImpeachment: https://t.co/hZj0qbcfNb
Wed Sep 25 14:56:57 +0000 2019,@LindseyGrahamSC @realDonaldTrump And you’ve sold your soul #TrumpImpeachment #ImpeachmentParty
Wed Sep 25 14:56:52 +0000 2019,"@JulianCastro Let’s send a message to .@SpeakerPelosi DO NOT TAKE A RECESS. 

This has to be dealt with immediately. No time for the spin from RW media.

#TrumpImpeachment"
Wed Sep 25 14:56:51 +0000 2019,I wanna get excited but I can’t. I don’t trust the democrats to pull this off. #TrumpImpeachment
Wed Sep 25 14:56:51 +0000 2019,"45 just now live from the UN: “It’s the single greatest witch hunt in American history”—sounds so familiar...wait, wasn’t that also the Mueller Report? That detailed ample evidence of obstruction? #TrumpImpeachment"
Wed Sep 25 14:56:50 +0000 2019,And this was supposed to make him look good? Wow. 🤯 #TrumpImpeachment https://t.co/4JTj4xCDcK
Wed Sep 25 14:56:49 +0000 2019,"Let me summarize ICYMI - 
Democrats are dangling the shinny object of  #TrumpImpeachment in front of their TDS suffering constituents 
for the ""crime"" of... wait for it...

Investigating the crimes of the previous Democrat administration."
Wed Sep 25 14:56:47 +0000 2019,"But he didnt do anything wrong. .... Smh
#TrumpImpeachment #UkraineTranscript https://t.co/o8uUp1ZWqp"
Wed Sep 25 14:56:43 +0000 2019,"@realDonaldTrump Oh, goody goody gumdrops, the whistleblower has a great attorney. I'm glad your legal team will have a worthy adversary. Threats and strong-arming won't work. Do your lawyers have any other skills?

#TrumpImpeachment 
#TrumpResign 
#HowDareYou"
Wed Sep 25 14:56:42 +0000 2019,"The misuse of ""their"" in these transcripts is really just the icing on the cake for me. #TrumpImpeachment"
